sim,pnl,pnl_pct,ann_ret,xirr,sharpe,max_dd,n_trades,position,net_invested,final_value,grid_alpha
0,103410.87,39.34084819322351,5.5834858734639115,10.366802454996426,0.4433902140116088,-19.92161821385075,153,196600,262858.7708432087,366265.8,0.36591815697486485
1,101764.76000000001,38.91219542448033,5.5305873094931846,10.347089093683023,0.4407478667230049,-20.057737845362922,152,195000,261524.07719451893,363285.0,0.31301959300413795
2,103293.45000000001,39.27863269573334,5.575750472026342,10.351726513731755,0.44244191891960843,-19.860828028720885,152,196600,262976.1855514393,366265.8,0.35818275553729517
3,103410.87,39.34084819322351,5.5834858734639115,10.36724558641797,0.4439229772861076,-19.92161821385075,153,196600,262858.7708432087,366265.8,0.36591815697486485
4,101607.59000000003,38.85642602569239,5.523663821620661,10.336576741518162,0.43867329825309725,-19.79732657357244,152,194900,261494.94534781895,363098.7,0.30609610513161467
5,102386.51999999999,39.04806054838099,5.5473138524232635,10.357850333800537,0.44172150015511674,-19.81546908672523,153,195700,262206.41579148837,364589.1,0.32974613593421687
6,103681.93000000002,39.23416392174028,5.569965507557395,10.36819310814325,0.4424363565595406,-19.92161821385075,153,197500,264264.4053963087,367942.5,0.35239779106834845
7,103293.45000000001,39.27863269573334,5.575750472026342,10.35136985579373,0.44291570604987235,-19.860828028720885,152,196600,262976.1855514393,366265.8,0.35818275553729517
8,103554.28,39.38897978744677,5.589439565424614,10.374703082818861,0.44438656666353854,-19.94267508619968,153,196700,262901.6556377087,366452.1,0.3718718489355677
9,103303.45000000001,39.283928963527345,5.576409094414525,10.35280081879705,0.4429924442074355,-19.860828028720885,152,196600,262966.1867475393,366265.8,0.35884137792547843
